,id,name,description,languages,publisher
705,2M2yAcaZySLPGYZ1PJcllF,The Bread Club,"Welcome to The Bread Club, where our mission is to Entertain, Educate, and Inspire you with the tools and ideas to help you be financially independent!   Brandon Anthony Clark and Aaron Lam are here to teach you about everything from Stocks, to Personal Finance, to the Economy!  Leverage their years of professional experience to learn everything you need to know to be financially free!",['en'],The Bread Club
706,5BIuXS3q7Q2mOrqpTVA8mI,America's 401k Show with Coach Pete,"America's 401k Show is heard around the country each week as Coach Pete and the team bring on everything you need know about your retirement transition. Each week, the hosts and guests on the show reveal the latest developments in the financial world to keep you informed of changes that may affect you personally, while sharing some common sense strategies that will help you make the most out of your retirement savings.",['en'],America's 401k Show
707,0hY16CTJV8JKlN6SMdzHsl,Brunch & Budget,"THE PODCAST ABOUT PERSONAL FINANCE & RACIAL ECONOMIC INCLUSION: Where can we, as People of Color, get financial advice that isn’t from a mostly white, mostly male, mostly economically privileged perspective? From how we bank, to our how credit scores are calculated, to how we are kept in the dark about investing, to how we pay our taxes, the system is set up for us to get caught in a debt/poverty cycle and stay running just to tread water. The rules change all the time so the people on top stay on top. What if you not only knew the rules, but knew exactly how to apply it to your own financial situation? What if you were able to not only reverse your financial mistakes, but start making the rules work for you? If you're ready to See Change, tune in! Check out brunchandbudget.com for more resources • • • • • • • • • • • • • • • • • • • • • • • • DISCLAIMER: The information in this presentation provided “AS IS” and without warranties of any kind either express or implied. To the fullest extent permissible pursuant to applicable laws, Brunch & Budget, LLC (referred to as “Brunch & Budget”) disclaims all warranties, express or implied, including, but not limited to, implied warranties of merchantability, non-infringement and suitability for a particular purpose. Brunch & Budget does not warrant that the information will be free from error. None of the information provided in this presentation is intended as investment, tax, accounting or legal advice, as an offer or solicitation of an offer to buy or sell, or as an endorsement of any company, security, fund, or other securities or non-securities offering.The information should not be relied upon for purposes of transacting securities or other investments. Your use of the information is at your sole risk. Under no circumstances shall Brunch & Budget be liable for any direct, indirect, special or consequential damages that result from the use of, or the inability to use, the materials in this site, even if Brunch & Budget or a Brunch & Budget authorized representative has been advised of the possibility of such damages. In no event shall Brunch & Budget, LLC have any liability to you for damages, losses and causes of action for accessing this site.Information on this site and in this podcast should not be considered a solicitation to buy, an offer to sell, or a recommendation of any security in any jurisdiction where such offer, solicitation, or recommendation would be unlawful or unauthorized.",['en'],Brunch & Budget
708,3e1MPVzcI3eI4cwSn9atWA,The Interrupted Podcast,"Are you looking for that interruption that recalibrates your course and gives you the freedom to be the person you were designed to be?  You have arrived. The Interrupted Podcast is a collection of real-life stories of victory and struggle by some of the most influential people that host Stephen Hallman has had the privilege of meeting. Most days, the adventurous life we have dreamed about seems impossibly out of reach, and so we settle into the status quo. Each episode explores personal stories that inspire you to be an influencer in your community and fight for the life you have always wanted. Topics will include self-awareness, situational awareness, family, finance, physical health, mental health, faith and the outdoors.",['en-US'],Steve Hallman
709,0uqqDW80YZJBpBP8aJdYaS,First Of All,"First of All explores post-grad life through the lens of two eclectic Brooklyn transplants navigating their latest conquest: adulting. Listen in  biweekly as hosts Kori & Tatiana attempt to make sense of relationships, finances, careers, culture and the end of the world. Care to join? Send inquiries and questions to: thefirstofallpodcast@gmail.com; Connect with us on Instagram: @thefirstofallpodcast; Personalities: @kors_li + @sheeshtati",['en'],thefirstofallpodcast
710,3o4QX3MP1BjfouhqitI3Hh,Wholeself Living Podcast. ,"The Wholeself Living Podcast is a space for transparent conversations about personal development, growth, spirituality, healing, motivation, and all things positivity. This podcast will help people cultivate more of their wholeselves, focusing on the mind, body, spirit, emotions, and financial state of being. The Wholeself Living Podcast promotes growth + development in all aspects of our lives because all of them are equally important and need love and care. ",['en'],Jordan Danielle
711,0wnzCHDnBYvbVmJ5xOnort,Mean Green Money," Mean Green Money is your source for all things personal finance at UNT. From budgeting and saving to side hustles and investing, we're here to help you be confident with your money. Want more? Visit our office in Chestnut Hall 313. ",['en'],Mean Green Money
712,6KRlhtDiWYCRTMlkAsNprL,The Business of Animation Podcast,"""The Business of Animation Podcast"" presented by Cabblow Studios is a podcast dedicated to helping budding animation entrepreneurs create their own financially sustainable businesses and personally fulfilling & enjoyable creative careers.  Kabelo ""Cabblow"" Maaka is your host and a budding entrepreneur herself. Listen as Cabblow shares business lessons on the journey of building her own animation empire through Cabblow Studios. ",['en'],Cabblow Studios
713,32PPC5IwLWk2sQ4AZfWSNh,Rick Bloom Talks Money,Rick Bloom has been helping people with their money since 1984.  No geek speak here - just simple financial advice for the everyday person.,['en'],Rick Bloom
714,7I23oWNTQvaz5p9izUNaKb,Smug Money Podcast,Brought to you by Good With Money – the UK's no.1 ethical money blog – the Smug Money Podcast gives you the inside track on the most exciting developments in the Good Money world: from the latest sustainable investment trends to the greenest personal finance tips. Because deals that look after people and the planet - as well as your pocket - are SO much more rewarding for everyone.,['en'],Good With Money
715,4CaiEbogxRYkepxxU8qAF0,The Shareholders Podcast,"On The Shareholders Podcast we are looking to educate, elevate and empower others, by sharing information that has normally been withheld in most circles. If you are a business owner, financier, entrepreneur, or just a person looking to better themselves with sound advice from experienced professionals, this is the show for you.",['en'],My-T-Sharp Network
718,6KQOIWvDVUcD8thFWOpjvq,The Joe Allen Podcast ,"Joe Allen talks about making small changes in our lives. In this podcast weight loss will be a big focus, however, there will be discussion on various topics. From careers to personal finance, the purpose of this podcast is to improve and make this wonderful life we have been given even better! Occasionally a guest that will provide a lot of value to the listeners will join Joe to discuss their experiences! ",['en'],Joe Allen
720,5mEEnPZZhfTuGxu3yDrx9L,Market Liberation Front,A personal finance podcast with Burton Bourne and Henry Hazlitt,['en'],"Burton Bourne, Henry Hazlitt"
721,09oDvcnnBPclcjeXbvcbHX,"The Modest Millions Show - Personal Finance, Budgeting, Early Retirement, Financial Independence and Getting Out of Debt Tips for Average Folks","Personal Finance, Budgeting, Early Retirement, Financial Independence and Getting Out of Debt Tips for Average Folks – Welcome to The Modest Millions Show. We’ll discuss personal finance strategies for average folks like you and me so we can better understand and control our own financial destinies. We’ll cover everything from how to setup (and run) a budget, which is the most critical building block of any personal finance plan, to how to figure out what your “ideal retirement” looks like, to the exploration of supplemental and/or passive income streams that can help fuel your personal finance goals. If you listen to money podcasts like The Dave Ramsey Show, Dough Roller Money Podcast, Radical Personal Finance, Afford Anything with Paula Pant, Smart Passive Income with Pat Flynn, BiggerPockets, Investing in Real Estate with Clayton Morris and Listen Money Matters, you’ll definitely find value in The Modest Millions Show. Subscribe today so you don’t miss an episode!",['en'],"Phil Wocken - Personal Finance, Budgeting and Early Retirement Enthusiast"
722,6Y3HUdlB9RXVx5ASfh3k4j,Let's F*cking Grow Podcast,"LFG is the #1 Podcast to stimulate your mind and learn about new subjects in an easy-to-understand way. Learn: Marketing - Current News - Business Growth - Tech - Personal Finance - Self Development - & Elon Musk     ►Website: https://LetsGrowPodcast.com Marketing, Straight forward, actionable knowledge on topics to better increase your lifestyle and elevate your income.",['en'],Let's Grow Podcast
723,3SiS1Twm12R7Vq65JwBGfA,Money N Coffee,"We feel like many of us young adults are not well prepared in the area of finances like we should. With Money N Coffee we provide financial advice through our conversations based on personal experience and data we collect along the way and we have fun sharing that with you.   Money N Coffee is financial advice and guidance. We are all in different points in our lives and want to help the youth to avoid the mistakes we made because we didn’t have an outlet like Money N Coffee. Success is not based on money, it is based on behavior. We can help you change some of your behaviors and habits.",['en'],Money N Coffee
724,2QrX9H1YTdG7XSKzZ8Rzdi,UPSTART,"Seek Discomfort  The Show purely based on Trends, Tech & personal finance, will help you attain financial independence. We would also focus on the technologies which will help people invest there precious time in the specific domain, rather than getting confused with multiple domains which ends them up nowhere.",['en'],Sandeep Kumar Rai
725,0BVh7SPfAj3SS9KXnXNdFl,Finfluential,"It covers everything related to Money,Personal Finance,Entrepreneurship, Precious Metals, Blockchain,Fintech,Abundance Mindset and Raising Your Human Capital.  I want to share my knowledge and bring in folks who are experts , who can bring unique value that will empower the individual to attain incredible life changing financial success that will amplify all aspects of one's life.  The current financial education and investment/financial/business reporting is a sick joke , especially coming from the Mainstream media, Educational system as well as dinosaur financial and banking institutions.  T",['en'],Markose Chenthitta
726,4z3jhFIuEDm96Qhr8i3Lg4,Enjoy Luv,"Judgement free zone allowing the mind to explore and expand on tough topics, while giving juicy perspectives. Join Ray & Kay a.k.a. Big Body Benz each week as we give our raw, comical and honest opinion on Life (as we’ve experienced it), Sex, Mental Health, Finances, Social “Norms”, Relationships/Situationships, and so much more. NO TOPIC OR PERSON IS OFF LIMITS! Everything won’t be all facts but all opinions matter so we aint taking sh*t back!   Please Note: All episodes contain explicit language and are not recommended for minor audiences. Support this podcast: https://anchor.fm/enjoyluvpc/support",['en'],RAY & KAY
727,2XQUqehOj7YL4qGClpKjgo,The Self Centered Podcast,"A show about how to put yourself first without being a horrible person. From self care to relationships, personal finances and even parenting, each episode  we will discuss ways in which you can have the starring role in your life and still maintain a supporting role in others. It's time to redefine, Self Centered.",['en'],Ash Michelle
728,4CRb6LHaEeTdq7qIYpci7K,Sound Cents Podcast,Opening up the conversation around personal finance and millennial matters,['en-US'],Jenn & Brandon
729,1byB2mreuSTaaDpjYfbxXj,He Said She Said the Money Guide Podcast,"Tune in and find out what is on the minds of two long-practicing, fee-only financial planners – Jay Furst and Certified Financial Planner ™ Cheryl Costa.  Cheryl and Jay chat weekly about the markets and a wide range of personal finance topics.",['en'],Cheryl Costa and Jay Furst
730,46tJZdPK6da5JP0UMvZVUM,The Life Gains Podcast. ,"This is the all damn everything podcast, designed to help you slow down all the fast-moving parts of life in an effort to help you obtain, ""Life Gains"". How will we accomplish this mission, by giving commentary on fitness, finance, trending topics, movies, tv shows, tech, real estate, and relationships. All the things we have accomplished in life, we plan to bring to you. Failures as well. A wise person once said, ""If you have not reached failure in life, then you have not been trying to achieve anything at your highest potential"".  The man that said it, Lamont Tyson, RCP",['en-US'],Lamont Tyson
731,68YYslstuChHhqChhIDHUn,Engineered Impact Podcast,"Straight talk about building a personal financial system that will  give you control of your time so you can discover and use your unique talents to make a meaningful impact in your family, community and professional pursuits.",['en'],Dan Korth
732,2MFZ8TeCQQuooSWchFcmfP,Red Truck Marriage,"Are you one of the many couples who began your relationship in what we call the ""high octane"" or honeymoon stage, only to now wonder, “where did all that love and connection go?” Perhaps at times you experience misunderstanding, indifference, disconnect, resentment, and a lack of romance. If this is part of your current story, the Red Truck Marriage Podcast will help. Hosted by speaker and marriage counselor, David Anderson, Ph.D., and his wife, Stuart Anderson, M.S., speaker and author, the Red Truck Marriage Podcast will bring you practical tools in an authentic and inspirational way to help you become the heroes of your marriage story. You will also hear conversations with other experts and thought leaders in the fields of relationship building, parenting, personality assessment, financial planning, and spiritual growth. Last but not least, you will get to know real couples who share their struggles and successes as they create “God’s Best” in marriage, a marriage based on Grace, Truth, and Compassion.",['en-US'],Dr. David & Mrs. Stuart Anderson
733,4QV9qt9oBOyIbO4xArED1x,Adulting Is Easy,"Most of us were not taught about personal finance as children and the Adulting Is Easy podcast is here to help fill that gap. Managing money is a big part of ""adulting"" (successful completion of the mundane tasks and responsibilities of grown-ups (adults); typically accompanied by a feeling of great accomplishment). As friends and family ask me (Lauren) questions, I research, write blogs, and post at realadultingiseasy.com. This podcast is another way to explore those topics.",['en'],Lauren Keen Aumond
734,29n7gSP89OTg8nb7MoPkzT,Cryptocurrency News & Updates by Bitcoin for Beginners,"At Bitcoin for Beginners Podcast you can conveniently listen to our beginner friendly daily news and relevant topics about Bitcoin and cryptocurrency. This way you can stay up to date on-the-go and learn more about the space each day! We publish much of our content also on our Youtube channel and we have great resources and discussion forums on our website bitcoinforbeginners.io!   THIS IS NOT FINANCIAL ADVICE, ONLY PERSONAL OPINION AND FOR ENTERTAINMENT PURPOSES! CRYPTOCURRENCY INVESTING IS VERY RISKY! PLEASE CONSULT LICENSED PROFESSIONALS BEFORE MAKING ANY INVESTMENT DECISIONS!",['en'],Bitcoinforbeginners.io
735,1KBLS7FIuX4eMQHMyg7Qk5,It's Your Money People,This podcast is about personal finance. Support this podcast: https://anchor.fm/david-clark62/support,['en'],David Clark
736,4GVIqeJekOxU3UQQ693aKJ,Cents and the City Podcast,"If you attended a public school like we did, you probably weren’t taught personal finances-- yet, we make financial decisions every day.Financial literacy can be overwhelming but you’re not alone.The money cents show was created to address the unique situation of urban youth. Every week, we will be sharing information, tips and resources you need to achieve your financial goals.",['en-US'],Olayinka 
737,6EcZQ5HZZU0eeifYMcpDwa,Wealth Exchange Podcast,"Welcome to the Wealth Exchange podcast. It’s a show for us millennials, that discusses practical and teachable steps for establishing wealth and meeting life goals, in a fun and relatable way. Every episode, Detroit local hosts, Samuel Cannonier, financial educator and Kreshona Brown, Detroit-Metro Realtor, will get personal, and talk about real-life events, that help listeners on their journey to building wealth. “The culture”, money habits, dating, laughter... It’s all in there. Check out the latest episode now.",['en'],Wealth Exchange Podcast
739,3OlC8YHpLLimDg3eo7HPxZ,The Veteran Network,"The Veteran Network is a nationwide network for the veteran community that can become a resource to help navigate relationships, finances, and overall lifestyle, but most importantly it will help individuals reach success. This show facilitates conversations filled with information resources, and tools in a raw, inspiring, and entertaining way for the veteran community. The veteran community is made up of veterans and individuals who influence veterans: family, friends, significant others, mentors, professors, businesses who want to hire veterans, and anyone who wants to be a part of supporting veterans and making a positive impact in the lives of veterans. This show will provide tools needed to set up a plan of action if you are getting ready to transition, or if you have transitioned but need to fine tune your plan. If you are not a veteran it will give you the tools and skills necessary to navigate the transitioning process with the veterans in your life. Many of these tools and information presented in the podcast are meant to help not only in your professional life, but also in your personal growth, relationships, finances, and overall success. I want to pay it forward to those who have served by bringing these resources, opportunities, and the subject matter experts of these different areas to the forefront in a centralized location that is accessible for the veteran community across the country and touch as many lives as possible.",['en'],Indira Greys
740,2jbPe4wciBluRXiUHrPO4G,Marriage First,"Marriage First is a faith-based - platform that provides the ability to support and encourage couples to evaluate how they view their marriage and the impact from outside interferences such as family, friends, finances and so much more.Purpose: The content of this podcast is based on scriptural guidance to encourage, support, and inspire married couples to evaluate their personal commitment and spiritual responsibilities as a married couple.",['en'],Storm Talk 365 Radio
741,1cyZwkFWVryAwrjaLiAsTi,Drowning In Debt & My Debt Free Journey,"Following a personal debt crisis where I accumulated $160,000 in credit card and lost the family home, I felt it would be useful to share aspects my journey, hoping to help others experiencing financial hardship.",['en-US'],Sophia & Dimitri Kargas
742,7M0i1Z1mfPtAUOekLwcWHO,Wealth Over Now Money Files,"I created this Money Files series to give you the opportunity to join me in a money conversation that is different than any you’ve ever heard before.   Over the next several months, I will share candid conversations I’ve had with my clients both past and present about how their relationship with money has changed. I’ve chosen to share different journeys with you because I want you to see just how perfectly imperfect your financial journey can be and how personal it can be nonetheless.  ",['en'],Keina Newell
743,5cYVz7ryUunwetTc29SgBY,Savvy Money,"A casual discussion of all things personal finance by a University of Chicago-educated, young female professional who admittedly graduated with no knowledge of personal finance ",['en'],Savanna (Savy)
744,4bOEp5slbQ5kD4gnJmGg6D,TALK THAT TALK,"3E MEDIA presents TALK THAT TALK with Gaylon Hughes Jr.! Our podcast is focused on getting all three: financial literacy, personal growth, and career development. We’re here on this podcast to speak our truths and TALK THAT TALK! ",['en-US'],Gaylon Hughes Jr.
745,3J1gyXD4hY8oQRXjdgY5Ql,The Millionaire Nurse- With Caleb The Nurse,"Join me on my journey to financial freedom, personal success and out of the hospital. Listen as I interview high-performing nurses , healthcare providers and entrepreneurs. Together we will discover the answer to what it does mean to be a successful, high performing, world changing nurse. Fuel the jet and let’s go!",['en'],Caleb Christenson RN
746,6yPSiAGKxyatKvTa2GxeRK,Fueled By Progress,"Welcome to Fueled By Progress, hosted by entrepreneur, investor, and personal development enthusiast, Mark Joseph Szymanski. On this podcast, you'll find a blend of information related to entrepreneurship, personal finance, and personal development. I speak about personal experiences in my life and how I've grown because of them in the hope that you, the listener, will find your fuel!",['en'],Mark Joseph Szymanski
747,2JCChTmLLHob1186N3Fudk,Digital Dish,"Digital Dish is a podcast where we dish our thoughts out on work, relationship highs and lows, mental health, personal finance, connecting with our family, and other topics relevant to us 20-something year olds. We want to go deep while staying lighthearted at the same time. ",['en'],Alec and Florence
748,5yNJpqteObMzJ4XdRGBWXy,#WarriorWomen in Business Podcast,"The #Warriorwomeninbusiness podcast series is a NYC based video and audio interview series with influential and leading women in business, both female executives and female entrepreneurs who are doing things to improve the opportunities for women in their careers, financially and the gender as a whole in our place in the workplace.  The series interviews women in the arts, women in finance, women in technology, women in law, women in healthcare, women in public affairs and government, female entrepreneurs, women in communications and more , covering their stories, what they have learned on their way to the top, the challenges they have faced, how they work with and support other women, and sharing their tips with you in your daily efforts to meet your own WonderWomen goals as leaders and contributors.  The WWIB podcast series is the creation of the host, Jasmine Sandler. Jasmine is the founder and CEO of JS Media, a media and Digital Marketing agency since 2006 that provides Branding, PR and Social Media services and education to female executives, teams and entrepreneurs. Jasmine runs the #BRANDYOU conference series on thought-leadership education for female entrepreneurs, Agent-cy Online Marketing, which resides under the JS Media umbrella as an Online Branding and Social Media Strategy firm and provides Keynote Speaking and Training to Female Business member-associations, corporate teams and universities. Jasmine is also the President of the NYC and NJ Chapter of The Hockey Players in Business supporting networking between business leaders who play hockey in the area and enabling events to give back to the community. She is an active singer and songwriter who has a special passion for providing business advice and social media supprot to fellow female artists. JS Media provides a library of digital marketing online courses, from social media selling to personal brand development online with live coaching provided.",['en'],Jasmine Sandler
749,3WEbNBEPZ1Y9Bb0BiyjqBG,The Life v Lifestyle Podcast,"Life v Lifestyle is a podcast created to help you nurture that balance between your life (friends, family, relationships, health, etc.) and your lifestyle (work, hobbies, vices, habits, etc.). Donald dives into the themes of life and lifestyle talking with guests on topics like work-life balance, personal development, personal financing, focusing on your health and so much more. Life v Lifestyle is for the listener that wants to take control of both their life and lifestyle for the better.  ",['en'],The Life V Lifestyle Podcast
750,3dXKiNxGRtzNO4i81xfUOy,et cetera with Bouge & Rouge,"Do you ever find yourself losing sleep over a mess of musings swirling in your mind? We spend so much time and energy obsessing over our phones, work, drama, or what to wear to the next social event that we ignore our struggles and silently bury them inside. So, let's actually talk about them! Tune into continuous conversations on topics like personal growth, dating/relationships, gender roles, mental health, career and finances, as well as fun stories about college, sex, funny stories, et cetera... Continue the conversation on Instagram @etc_podcast and follow @bougeandrouge for blog/vlog content!",['en-US'],Erica Huang
753,52FA964adsSAEU0Rth7tDf,A.S Personal Finance,"My goal is to create a systematic financial foundation including a budget, credit, investing, and online banking that you can understand and go to sleep easy knowing your finances are well kept and with an end goal in mind. ",['en'],A.S.P.F Consulting
754,6BtycbUUI0WWrcnOwltscJ,Tim Stearns Podcast,"For over 20 years, TJ Stearns, Inc., has offered financial services for individuals, families and businesses. Founded by Tim Stearns in Arlington Heights, IL, the firm focuses on financial processes and customization for each and every person who walks through their door.  Tim and his team guide clients in meeting their investment goals through discussion and understanding. They are dedicated to providing exceptional service, comprehensive financial planning, and an unbiased perspective in helping guide you to realizing your financial goals. All in an effort to help provide financial peace of mind.",['en'],TJ Stearns inc
755,38ukCn7VEwieQ2KKDDalZn,My Story,"Welcome to the ‘My Story’ Podcast hosted by Podcast Producer Amelia Rees. Amelia has experienced more than her fair share of adversity. She has battled both mental and physical health but has come through stronger and with a better perspective on what really matters in life…human connection.  Amelia interviews everyday people as they openly share their personal journeys as an encouragement to others who are facing adversity.  For generations, storytelling has been a way to communicate and teach. Sharing can bring healing. Adversity can be overcome. Depression can be managed. Hearts can be mended. Hurt can be forgiven, and scars can heal. The goal of the My Story Podcast is to showcase that you are not alone in the struggle of hardship. Life isn’t always sunshine and rainbows, but with the right support, encouragement and a little bit of kindness to ourselves and others, we can get through anything.  This raw and honest Podcast aims to be just that.  Our guests have shown vulnerability and bravery to share their stories. They are on the path of breaking down the barriers we put around ourselves and each other. The more we talk about mental health, parenthood, illness and all forms of hardship, the more we can be there for each other.  Episodes feature topics such as mental health, depression, fitness, anxiety, parenting, sick children, illness, personal battles, cancer, autism, financial abuse, diabetes, as well as encouragement and support for those who need it.",['en'],Amelia Rees
756,71asc7kcm68k4BhBIJ0qxR,THE EQUITY PARTNER,"The Equity Partner is an online platform targeting entrepreneurs, young professionals and individuals seeking content regarding personal finance, commercial finance, accounting, and legal advice. As a platform we strive to educate, inform and inspire. We hope to share impactful information from inspirational individuals to individuals striving to improve their financial well being. Content includes interviews, social media post, informative articles, Q&A, etc. Support this podcast: https://anchor.fm/the-equity-partner/support",['en'],The Equity Partner
757,45CiQpRNIGjCLzKzWOkJck,Unpopular Takes,"A podcast about life, finance, motivation, and personal experiences with interviews Support this podcast: https://anchor.fm/parker-and-zack/support",['en'],Unpopular Takes
758,3O9OlOZipTuo2u3Tqs24Ku,Retire Texas Style!,"For over 30 years, Steve has worked tirelessly to craft personalized, high-quality financial services to a diverse group of clients at all income levels.",['en'],Steve Hoyl
759,5tSSh3nERIZ4l9eSsUPuQ6,"Conversations in Finance with Dominique Henderson, CFP® ","Hi, I’m Dominique (pronounced dah-muh'-neek) and I live in Dallas, TX!  I consider myself a maven of sorts especially for #financialliteracy, #economicempowerment, and #personaldevelopment.   As an advocate of financial education, I use this platform as a conversation starter for current and aspiring financial professionals and the many faces the topic of ""finance"" can take.  ",['en'],"Dominique Henderson, CFP® "
760,4jnW7evICe3Wfirf3qhGOh,Defying Self,"A living journey through personal transformation, family, faith and finances.",['en'],Edvardo and Ntebo Archer
763,4L3njOouZclDc1VL5bnQC5,Money Amplify Couple - Personal Finance ,"Welcome to the Money Amplify Couple Podcast with your hosts Lauro and Ana. Where we share the best personal finance tips! Learn to budget, save money, and amplify every penny. ",['en'],Lauro & Ana
764,3e9ZdzWDuDKnqOTnNZS4uP,The 20/20 Life Podcast with Mike Skiff,"This is a podcast focused on helping you reclaim your clarity, focus, and purpose so you can realize your unlimited potential in the most meaningful domains of life. Which domains in particular? The 4 Primary Domains that are most important to you in your life: *Love -- Relationships/Social (marriage, family friends, work relationships, significant others, etc.) *Wealth -- Career, Financial Abundance, Calling, Destiny *Vision -- Personal Development, Spiritual, Leadership Development, Life Purpose *Vitality -- Physical Wellness, Emotional Health & Intelligence Let's gooooo!! Support this podcast: https://anchor.fm/2020life/support",['en'],Mike Skiff
765,2vk2ZQtFeH603svHRGZIr8,Two Broke Traders,Two average guys with zero financial degrees or experience teaching  YOU how to become a trader. Bringing the average person with limited funds the knowledge they will need to be profitable in the market. ,['en'],William Yordy
766,1tAdOS498BAwUbJC1wnSjy,Money Talks with Stephen Diedericks,"We welcome Stephen Diedericks to Hawke's Bay and Radio Kidnappers.    Stephen, his wife, Tania and their six children recently moved to Hastings from Australia, via Auckland. For Tania, this is a return to home, reconnecting with her school, Taikura Rudolf Steiner School.    Stephen started life thinking that he wants to be comfortable. He realised that, to be comfortable, he and everyone around him will have to be rich. This has led to Stephen's philosophy: ""if people do what they love, they will become rich and be comfortable - in reality, more than comfortable"".    After reviewing various paths to achieve this philosophy, Stephen found personal development and financial education. He is now a Professional Network Marketer, with a global On-line shop focusing on 'Swap Where You Shop' and for the past 20 months has been writing weekly financial education articles.    Stephen graduated from Wollongong University with a Bachelor of Commerce Degree, majoring in Accounting and Legal Studies. Since graduating and while working, he completed his Certified Practising Accountant (CPA) studies and a Juris Doctor (Masters of Law) at Monash Law School. Stephen's work experience was gained in the tax divisions of the global accounting firms, KPMG, PricewaterhouseCoopers and Ernst and Young. Stephen also gained experience working with the tax divisions of the New South Wales Treasury (Office of State Revenue) and the State Revenue Office (Victoria). In New Zealand, he has worked for law and accounting firms before establishing his own firm: Stephen's Tax, Business and Assets Protection Services Limited.    In his Accounting practice, Stephen negotiates tax write-offs and penalty and interest remissions. While working in Auckland, he successfully negotiated a tax write off of $253,000, which made his client cry.    Stephen's experience also includes asset structuring, asset protection and trust establishment and maintenance. This is where his law qualifications are valuable. He has been admitted as a Barrister and Solicitor of the High Court of New Zealand but operates as a Certified Practising Accountant.    Stephen's passion is financial literacy. He will not be sharing which shares you should buy or sell, or which mix of assets to have for diversification. He says you should see your financial adviser.    Stephen will focus on financial education by sharing his research and thoughts on different ways to generate additional income. In addition, he will also share his version of what his friend has termed the 'Inner Game of Money' and Stephen's own 'Outter Game of Money'.    Stephen also offers everyone a free 30-minute consultation to determine which business-type would be best suited to them. His contact details will be provided at the end of each programme. You can also find his broadcasts on YouTube and podcasted on Access Internet Radio.    Contact Details:  Stephen's Tax, Business and Assets Protection Services Limited  Phone: +64  210 851 0771  Email: stephen@taxowl.co.nz Website: www.taxowl.co.nz",['en'],Stephen Diedericks
768,05dhrGoLO5xxZiyOGl4y45,tried & true,"Hosted by August Guzman, the TRIED AND TRUE PODCAST, will explore themes of personal development, conversations about what it means to love yourself, others, navigating the so called *real world*, personal finances, funny stories, and so much more from myself and other exciting guests. Follow along for new episodes each Wednesday. For inquiries, please email august@augustguzman.com",['en-US'],august guzman
769,3VtGAJqBruHYWV14nscWaG,The Joney Talks Podcast,Welcome friend to The Joney Talks! Podcast. We aim at helping you understand the basics of money (investing) and create a place to discuss money with the ultimate goal of reaching our financial goals! I am Jonathan personal Finance writer at Joney Talks!,['en'],Jonathan Verhaeghe
770,384JjcDxXWIN5EzymxBNjt,The More Mindset,"The More Mindset is all about creating abundance in life. Every show features a young, successful individual sharing their experiences and knowledge on topics like productivity, entrepreneurship, self development, and personal finance. Are you ready to take action and become the best version of yourself? Join us and get more from your life!",['en'],The More Mindset
771,4yagk68dPipmPAcMqZEdEM,Mind Over Muscle,"A new take on personal fitness. Deeper than working out and eating well. Physical, Mental, Spiritual and Financial fitness come together to create an exceptional life #4Pillars👌. Let's talk @MndOvrMuscle",['en-US'],Conroy C.
772,1Sy2MJY8zApvZO9lz6qxkw,Derivatives Law,"What are derivatives? Why is a multi-trillion dollar market so little known? Is it regulated? This podcast is for the lawyer, law student, or person interested in financial markets who wants to understand derivatives and the answers to these questions.Just want to learn about what derivatives are and how they work and not as interested in regulation? Listen to episodes 1 through 4.Introductory music is ""The Boss"" by Dee Yan-Key. It is used under free license.",['en-US'],Gary E. Kalbaugh
773,3vSTk2mYPJMClvYoWGPWtr,The Unpreached Truth: God & Money,"Is God anti-wealth or pro wealth? Does God promote financial prosperity or have a disdain towards it? Are there occupations that God disapprove because they are lucrative? Is poverty a mark of righteousness? Educated in both business and theology, Nikolai explores two ongoing forces that have impacted culture: God & Money. Both these forces are relevant in life. This podcast unravels the truths that are often not discussed from either the pulpit or the podium. Whether one is a person of faith or a skeptic, an entrepreneur or a leader, a student or an educator, this podcast takes one on a journey to confront misconceptions and discover truths. The podcast also provides practical solutions to problems both financially and spiritually. So what's the truth? You are about to find out! This is The Unpreached Truth about God and Money. ",['en-US'],"Nikolai X. Greaves, MBA, Mdiv"
